Core Word,Long Tail,Source,Popularity,Difficulty,Our Ranking,Apps in Ranking,Composition,Top of SERP
haushaltsbuch,haushaltsbuch budgetplaner,competitor SERP n-gram - Haushaltsbuch - Budgetplaner (#5),5,49,124,232,needs: budgetplaner,
haushaltsbuch,finanzplaner haushaltsbuch,competitor SERP n-gram - brand/category combo from extract(seed='haushaltsbuch'),9,57,124,229,needs: finanzplaner,
haushaltsbuch,haushaltsbuch budget,natural query de-DE 'X budget',5,50,185,232,FREE - all words are live field tokens,
haushaltsbuch,digitales haushaltsbuch,natural query de-DE 'digitales X',5,55,195,216,needs: digitales,
haushaltsbuch,haushaltsbuch moneycontrol,competitor SERP n-gram - MoneyControl (#6) brand+core combo,7,60,207,211,needs: moneycontrol,
haushaltsbuch,haushaltsbuch digital,natural query de-DE 'X digital',5,20,OUT,8,needs: digital,
haushaltsbuch,haushaltsbuch paar,natural query de-DE 'X paar',5,17,OUT,59,needs: paar,
haushaltsbuch,haushaltsbuch zu zweit,natural query de-DE 'X zu zweit',5,5,OUT,1,needs: zweit,
haushaltsbuch,haushaltsbuch wg,natural query de-DE 'X wg',5,17,OUT,37,needs: wg,
haushaltsbuch,haushaltsbuch offline,natural query de-DE 'X offline',5,17,OUT,84,needs: offline,
haushaltsbuch,monee haushaltsbuch,"competitor SERP n-gram - Monee (#1) brand+core combo, extract(seed='haushaltsbuch')",15,19,OUT,13,needs: monee,
haushaltsbuch,haushaltsbuch moneystats,competitor SERP n-gram - MoneyStats (#2) brand+core combo,11,54,OUT,29,needs: moneystats,
budget,monatliches budget,natural query de-DE 'monatliches X',5,15,69,212,needs: monatliches,
budget,budget verwalten,natural query de-DE 'X verwalten',5,17,80,222,FREE - all words are live field tokens,
budget,mein budget ausgaben,competitor SERP n-gram - mein Budget -Ausgaben im Griff (#7 de 'ausgaben'),5,55,193,229,needs: mein,
budget,budget kontrolle,natural query de-DE 'X kontrolle',5,5,OUT,106,needs: kontrolle,
budget,budget zu zweit,natural query de-DE 'X zu zweit',5,5,OUT,2,needs: zweit,
budget,budget familie,natural query de-DE 'X familie',5,38,OUT,228,needs: familie,
budget,budget einfach,natural query de-DE 'X einfach',5,9,OUT,161,needs: einfach,
budget,budgetplaner familie,natural query de-DE 'budgetplaner familie',5,35,OUT,212,needs: budgetplaner+familie,
budget,budget tracker,Astro extract_competitors_keywords(seed='ausgaben') -> token recombined with core word,34,54,OUT,234,needs: tracker,
finanzen,finanzen verwalten,natural query de-DE 'X verwalten',5,57,82,220,FREE - all words are live field tokens,
finanzen,finanzen zu zweit,natural query de-DE 'X zu zweit',5,5,OUT,2,needs: zweit,
finanzen,finanzen im griff,natural query de-DE 'X im griff',5,21,OUT,61,needs: griff,
finanzen,gemeinsame finanzen,natural query de-DE 'gemeinsame X',5,13,OUT,95,needs: gemeinsame,
finanzen,finanzen ueberblick,natural query de-DE 'X ueberblick',5,17,OUT,68,needs: ueberblick,
finanzen,finanzen familie,natural query de-DE 'X familie',5,47,OUT,225,needs: familie,
kosten,kosten verwalten,natural query de-DE 'X verwalten',5,11,48,222,FREE - all words are live field tokens,
kosten,haushaltsbuch kosten manager,"competitor SERP n-gram - Haushaltsbuch, Kosten Manager (#4)",5,55,86,232,needs: manager,
kosten,kosten im blick,natural query de-DE 'X im blick',5,13,OUT,66,needs: blick,
kosten,kosten uebersicht,natural query de-DE 'X uebersicht',5,15,OUT,39,needs: uebersicht,
kosten,laufende kosten,natural query de-DE 'laufende X',5,48,OUT,227,needs: laufende,
kosten,kosten kontrolle,natural query de-DE 'X kontrolle',5,9,OUT,66,needs: kontrolle,
kosten,kosten tracker,natural query de-DE 'X tracker',5,50,OUT,229,needs: tracker,
kosten,reisekosten,natural query de-DE 'reise+X compound',15,51,OUT,209,needs: reisekosten,
kosten,wg kosten teilen,Astro extract_competitors_keywords(seed='gemeinsame ausgaben') -> token recombined with core word,5,36,OUT,109,needs: wg+teilen,
sparen,sparziel,natural query de-DE 'compound spar+ziel',6,13,OUT,230,needs: sparziel,
sparen,sparen tracker,natural query de-DE 'X tracker',5,42,OUT,239,needs: tracker,
geld,haushaltsplaner geld sparen,competitor SERP n-gram - Monefy: Ausgaben manager subtitle (#5 de 'ausgaben'),5,51,117,234,needs: haushaltsplaner,
geld,geld sparen budget planer,competitor SERP n-gram - Haushaltsbuch - Budgetplaner subtitle (#5),5,55,221,231,FREE - all words are live field tokens,
geld,geld im griff,natural query de-DE 'X im griff',5,11,OUT,31,needs: griff,
geld,geld uebersicht,natural query de-DE 'X uebersicht',5,15,OUT,64,needs: uebersicht,
konto,konto uebersicht,natural query de-DE 'X uebersicht',5,13,OUT,25,needs: uebersicht,
konto,gemeinsames konto paare,natural query de-DE 'gemeinsames X paare',5,5,OUT,6,needs: gemeinsames+paare,
monatsbudget,monatsbudget planer,natural query de-DE 'X planer',5,19,46,101,FREE - all words are live field tokens,
monatsbudget,monatsbudget familie,natural query de-DE 'X familie',5,9,OUT,17,needs: familie,
bilanz,monatliche bilanz,natural query de-DE 'monatliche X',5,5,2,3,needs: monatliche,
haushalt,haushalt ausgaben,natural query de-DE 'X ausgaben',5,49,32,233,FREE - all words are live field tokens,
haushalt,haushaltskonto,natural query de-DE 'compound haushalt+konto',5,46,33,218,needs: haushaltskonto,
haushalt,haushaltsbudget,natural query de-DE 'compound haushalt+budget',5,47,122,234,needs: haushaltsbudget,
haushalt,haushalt budget,natural query de-DE 'X budget',5,52,140,229,FREE - all words are live field tokens,
haushalt,haushaltskasse gemeinsam,natural query de-DE 'haushaltskasse gemeinsam',5,5,OUT,9,needs: haushaltskasse+gemeinsam,
haushalt,wg kasse,Astro extract_competitors_keywords(seed='gemeinsame ausgaben') -> token recombined with core word,5,51,OUT,208,needs: wg+kasse,
einkauf,einkauf ausgaben,natural query de-DE 'X ausgaben',5,17,15,119,FREE - all words are live field tokens,
einkauf,einkaufsliste budget,natural query de-DE 'einkaufsliste budget',5,7,OUT,121,needs: einkaufsliste,
einkauf,supermarkt ausgaben,natural query de-DE 'supermarkt ausgaben',5,5,OUT,21,needs: supermarkt,
fixkosten,fixkosten verwalten,natural query de-DE 'X verwalten',5,17,10,31,FREE - all words are live field tokens,
fixkosten,fixkosten uebersicht,natural query de-DE 'X uebersicht',5,9,OUT,16,needs: uebersicht,
fixkosten,fixkosten tracker,natural query de-DE 'X tracker',5,13,OUT,80,needs: tracker,
fixkosten,abo kosten,Astro extract_competitors_keywords(seed='fixkosten') -> token recombined with core word,5,5,OUT,190,needs: abo,
einnahmen,einnahmen verwalten,natural query de-DE 'X verwalten',5,13,26,111,FREE - all words are live field tokens,
einnahmen,budget einnahmen ausgaben,competitor SERP n-gram - Haushaltsbuch MoneyStats subtitle (#2),5,47,62,224,FREE - all words are live field tokens,
einnahmen,einnahmen und ausgaben,natural query de-DE 'X und ausgaben',5,40,93,223,FREE - all words are live field tokens,
einnahmen,einnahmen ausgaben tracker,natural query de-DE 'X ausgaben tracker',5,40,OUT,234,needs: tracker,
einnahmen,einnahmen uebersicht,natural query de-DE 'X uebersicht',5,9,OUT,33,needs: uebersicht,
